src_file,var,num_segments,rpm_used,mode,out_path
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_0.mat,X097_DE_time,8,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_0_X097_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_0.mat,X097_FE_time,8,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_0_X097_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_1_(1772rpm).mat,X098_DE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_1_(1772rpm)_X098_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_1_(1772rpm).mat,X098_FE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_1_(1772rpm)_X098_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_2_(1750rpm).mat,X099_DE_time,13,1750.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_2_(1750rpm)_X099_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_2_(1750rpm).mat,X099_FE_time,13,1750.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_2_(1750rpm)_X099_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_3.mat,X100_DE_time,13,1725.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_3_X100_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\48kHz Normal\N_3.mat,X100_FE_time,13,1725.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\48kHz Normal\N_3_X100_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_0.mat,X118_DE_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_0_X118_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_0.mat,X118_FE_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_0_X118_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_0.mat,X118_BA_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_0_X118_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_1.mat,X119_DE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_1_X119_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_1.mat,X119_FE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_1_X119_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_1.mat,X119_BA_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_1_X119_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_2.mat,X120_DE_time,13,1748.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_2_X120_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_2.mat,X120_FE_time,13,1748.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_2_X120_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_2.mat,X120_BA_time,13,1748.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_2_X120_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_3.mat,X121_DE_time,13,1722.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_3_X121_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_3.mat,X121_FE_time,13,1722.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_3_X121_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B007_3.mat,X121_BA_time,13,1722.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B007_3_X121_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_0.mat,X185_DE_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_0_X185_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_0.mat,X185_FE_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_0_X185_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_0.mat,X185_BA_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_0_X185_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_1.mat,X186_DE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_1_X186_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_1.mat,X186_FE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_1_X186_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_1.mat,X186_BA_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_1_X186_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_2.mat,X187_DE_time,13,1749.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_2_X187_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_2.mat,X187_FE_time,13,1749.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_2_X187_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_2.mat,X187_BA_time,13,1749.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_2_X187_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_3.mat,X188_DE_time,13,1724.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_3_X188_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_3.mat,X188_FE_time,13,1724.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_3_X188_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B014_3.mat,X188_BA_time,13,1724.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B014_3_X188_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_0.mat,X222_DE_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_0_X222_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_0.mat,X222_FE_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_0_X222_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_0.mat,X222_BA_time,13,1796.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_0_X222_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_1.mat,X223_DE_time,13,1774.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_1_X223_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_1.mat,X223_FE_time,13,1774.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_1_X223_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_1.mat,X223_BA_time,13,1774.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_1_X223_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_2.mat,X224_DE_time,13,1754.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_2_X224_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_2.mat,X224_FE_time,13,1754.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_2_X224_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_2.mat,X224_BA_time,13,1754.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_2_X224_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_3.mat,X225_DE_time,13,1729.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_3_X225_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_3.mat,X225_FE_time,13,1729.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_3_X225_FE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B021_3.mat,X225_BA_time,13,1729.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B021_3_X225_BA_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B028_0_(1797rpm).mat,X048_DE_time,13,1797.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B028_0_(1797rpm)_X048_DE_time_imgs.npy
C:\Users\root\Desktop\class\math model\dataset\源域数据集\DE\12kHz B\B028_1_(1772rpm).mat,X049_DE_time,13,1772.0,image,C:\Users\root\Desktop\class\math model\dataset_tensors\DE\12kHz B\B028_1_(1772rpm)_X049_DE_time_imgs.npy
